Site,Zone,Time,Tide,Species,Number,Where,Flying,Hunting,Sitting,Landing,Other,Vis/Call?,,
PI,2,D- 6:00,high,LSPIP,3,t4,,,1,,V,,,
PI,2,E- 10:00,high,OSP,1,Z2,1,,1,,V,,,
PI,2,E- 4:00,high,EGR,1,Bank,,1,1,,V,,,
PI,3,F- 10:00,high,LSPIP,1,,,,1,,V,,,
PI,3,F- 8:40,high,LSPIP,1,,,,1,,V,,,
PI,3,G,high,LSPIP,3,T9,,,1,,V,,,
PI15,1,,high,BSWAL,1,,,,,1,,,,
PI15,1,,high,BSWAL,1,,1,,,,,,,
PI15,1,,high,SPPLOV,1,,1,,,,,,,
PI15,1,,high,BSWAL,1,,1,,,,,,,
PI15,1,,high,EGR,2,,1,,,,,,,
PI15,3,,low,TSWAL,1,,1,,,,,,,
PI15,3,,low,EGR,1,,1,,,,,,,
PI15,3,,low,TSWAL,3,,1,,,,,,,
PI15,3,,low,SPPLOV,1,,1,,,,,,,
PI15,3,,low,EGR,3,,1,,,,,,,
PI15,3,,low,SWAL,6,,1,,,,,,,
PI15,3,,low,SMSPAR,2,,1,,,,,,,
PI15,3,,low,BSWAL,1,,1,,,,,,,
PI15,3,,low,BSWAL,1,,1,1,,,,,,
PI15,3,,low,BHER,3,,1,1,,,,,,
PI15,3,,low,PPLOV,1,,1,1,,1,,,,
PI15,3,,low,EGR,4,,1,,,,,,,
PI15,2,,low,LAG,1,,1,,,,,,,
PI15,2,,low,PLOV,1,,1,,,,,,,
PI15,2,,low,SPPLOV,2,,1,,,,,,,
PI15,2,,high,PPLOV,1,,,,,,,,,
PI15,2,,high,BSWAL,1,,1,,,,,,,
PI15,2,,high,BSWAL,1,,1,,,,,,,
PI15,2,,high,BSWAL,3,,1,,,,,,,
PI15,2,,high,TSWAL,1,,1,,,,,,,
PI15,2,,high,EGR,2,,1,,,,,,,
PI15,2,,high,BBG,2,,1,,,,,,,
PI15,2,,high,SPPLOV,1,,,1,,,,,,
PI15,3,,high,SPPLOV,1,,,1,,,,,,
PI15,3,,high,BBG,1,,,,1,,,,,
PI15,3,,high,BSWAL,1,,1,,,,,,,
PI15,3,,high,SMSPAR,1,,,,1,,,,,
PI15,3,,high,RWB,1,,1,,,,,,,
PI15,3,,high,SLING,1,,,1,,,,,,
PI15,3,,high,PIPLOV,1,,,1,,,,,,
PI15,3,,high,RWB,1,,1,,,,,,,
PI15,3,,high,SPPLOV,1,,,1,,,,,,
PI15,3,,high,BSWAL,1,,1,1,,,,,,
PI15,3,,high,TSWAL,1,,1,1,,,,,,
PI15,3,,high,SMSPAR,1,,1,,,1,,,,
PI15,1,,low,TSWAL,1,,1,,,,,,,
PI15,1,,low,RWB,1,,,1,,,,,,
PI15,1,,low,SPPLOV,1,,,1,,,,,,
PI15,1,,low,PIPLOV,1,,1,,,,,,,
PI15,1,,low,SLING,1,,1,1,,,,,,
PI15,1,,low,SPPLOV,4,,,1,,,,,,
PI15,1,,low,BBPLOV,1,,,1,,,,,,
N,1,,high,HARRIER,1,,,,,,,,,
N,1,4pm:9:50,high,WHIM,1,T3,,,,,,,,
N,1,,high,HEG,1,CREEK,,,,,Eating fid,,,
N,1,,high,EGR,1,,,,,,swimming,,,
N,1,,high,EGR,1,,,,,,,,,
N,1,,high,SPAR,1,,,,,,,,,
N,1,,high,WHIM,10,T4 BANK,,,,,,,,
N,1,4:50PM,high,EGR,1,T 4 BANK,,,,,preening,,,
N,1,,high,CROW,2,T1Q2,,,,,preening,,,
N,1,2:15PM,high,DOW,2,T4Q1,,,,,preening,,,
N,1,3:20PM,high,WILLETT,2,T1Q3,,,,,,,,
N,1,2:10pm,high,BBG,1,,,,,,preening,,,
N,1,,high,OYS,2,t3/T4,,,,,,,,
N,1,4:40:10:00pm,high,CROW,2,,,,,,,,,
N,1,8:50pm,high,WHIM,2,,,,,,,,,
N,1,10:08pm,high,DOW,3,,,,,,,,,
N,1,,high,EGR,1,,,,,,,,,
N,1,,high,WILLETT,16,,,,,,,,,
N,1,6:40pm,high,SMSPAR,10,T4Q1,,,,,,,,
N,1,3:10pm,high,EGR,1,,,,,,,,,
N,1,,high,GEGR,1,T3Q3,,,,,,,,
N,1,10:00pm,high,OYS,1,T3Q3,,,,,,,,
N,1,9:30pm,high,YLEGS,1,,,,,,,,,
N,1,9:30pm,high,LYLEGS,1,,,,,,,,,
N,1,,high,DUCK,4,by creek,,,,,,,,
N,1,,high,MAL,1,,,,,,,,,
N,1,,high,DUCK,1,,,,,,,,,
N,1,7:40pm,high,TSWAL,5,,,,,,,,,
N,1,2:10pm,high,BSWAL,5,,,,,,,,,
N,1,2:10pm,high,EGR,1,,,,,,,,,
N,1,,high,PPLOV,1,,,,,,,,,
N,1,,high,DUCK,4,t12 pond,,,,,,,,
N,3,9:45,high,OSP,1,,,,,,swimming,,Zone 3,
N,3,,high,ROB,1,back creek,,,,,,,,
N,3,,high,MAL,1,x2,,,,,,,,
N,3,,high,DUCK,1,pond,,,,,,,,
N,3,10:00 PM,high,SMSPAR,1,,,,,,,,,
N,3,9:10,high,OSP,2,over head,,,,,,c,,
N,3,6:50,high,DUCK,1,pond/back,,,,,,,,
N,3,4:10,high,BBG,1,fly whole,,,,,,,,
N,3,3:00,high,GEGR,1,,,,,,,,,
N,3,31-Jul,low,SPPLOV,1,sand back/Q1,,,,,,,,
N,1,9:30,low,HEG,1,sand Q4,,,,,,,Zone 1,
N,1,,low,HEG,1,T3,,,,,,,,
N,1,,low,BSWAL,1,T3,,,,,,,,
N,1,8:15,low,SMSPAR,1,t4,,,,,,,,
N,1,6:00,low,OSP,3,edge,,,,,,,,
N,1,1:00,low,EGR,2,t4,,,,,,,,
N,1,10:00,low,EGR,1,T4,,,,,,,,
N,1,,low,BSWAL,1,whole Z,,,,,,,,
N,1,,low,WILLETT,2,T4 bank,,,,,,,,
N,1,,low,HEG,1,,,,,,,,,
N,1,10:00,low,SMSPAR,1,T4,,,,,,,,
N,1,9:00,low,LTERN,3,all,,,,,,,,
N,1,8:00,low,BSWAL,1,all,,,,,,,,
N,1,,low,DUCK,4,pond,,,,,,,,
N,1,,low,Tswal,1,Whole Z,,,,,,,,
N,1,,low,bswal,1,whole Z,,,,,,,,
N,1,,low,WILLETT,2,creek,,,,,,,,
N,1,,low,LTERN,1,creek,,,,,,,,
N,1,,low,Tswal,1,whole Z,,,,,,,,
N,1,,low,heg,1,bank T6,,,,,,,,
N,1,10:00,low,EGR,1,bank t5,,,,,eating mussel,, A,
N,1,1,low,WILLETT,1,bank t5,,,,,,,,
N,1,8:40,low,WILLETT,5,,,,,,,,,
N,1,1:50,low,TSWAL,2,,,,,,,,,
N,1,1,low,Bswal ,1,T5,,,,,,,,
N,1,7:50,low,Bswal ,1,T7,,,,,,,B,
N,1,5:00,low,corm,1,T5,,,,,,,,
N,1,3:00,low,Bswal ,1,T5,,,,,,,,
N,1,2:50,low,WHIM,5,bank,,,,,,,,
N,1,10:00,low,SPPLOV,4,Ba12,,,,,,,C,
N,1,,low,WHIM,5,ba12,,,,,,,,
N,1,9:50,low,DOW,1,ba12,,,,,,,,
N,1,8:00,low,SMSPAR,1,T7,,,,,,,,
N,1,6:00,low,tswal,1,T6,,,,,,,,
N,1,1:00,low,BSWAL,3,T5,,,,,,,,
N,1,,low,SMSPAR,1,T5,,,,,,,,
N,1,31-Jul,high,crow,1,T4 bank,,,,,,,,
N,1,8:50,high,EGR,1,,,,,,,,A,
N,1,8:10,high,OYS,2,z2-> z3,,,,,,,,
N,1,4:15,high,TSWAL,1,,,,,,,,,
N,1,8:15,high,Bswal,1,zz,,,,,,,F,
N,1,1,high,WHIM,13,T5Q1,,,,,,,,
N,1,4:00,high,Bswal,1,T8,,,,,,,,
N,1,1:10,high,WHIM,17,island bank,,,,,,,,
N,1,,high,TSWAL,2,22,,,,,,,E,
N,1,4:00,high,BSWAL,2,,,,,,,,,
N,1,,high,PPLOV,1,bank,,,,,,,,
N,1,2:00,high,SPPLOV,1,,,,,,,,,
MED,1,(Z1)8:16:00 AM,high,corm,1,,out of water,,,,,,,
MED,1,8:16,high,crow,1,,,,on tree,,,,,
MED,1,8:17,high,whimbrel,1,,over marsh,,,,,,,
MED,1,8:18,high,sandpip,1,,over marsh,,,,,,,
MED,1,8:19,high,MOURNINGDOVE,1,,over marsh,,,,,,,
MED,1,8:19,high,VULT,1,,over marsh,,,,,,,
MED,1,8:20,high,crow,1,,over marsh,,,,,,,
MED,1,8:24,high,crow,1,,over marsh,,on dock,,,,,
MED,1,,high,CEWA,1,,,,,,,,,
MED,1,,high,corm,1,,,,,,,,,
MED,1,,high,crow,1,,,,,,,,,
MED,1,,high,whimrel,1,,,,,,,,,
MED,1,,high,sandpipers,1,,,,,,,,,
MED,1,,high,mourning dove,1,,,,,,,,,
MED,1,,high,turkey vulture,1,,,,,,,,,
MED,1,(Z2)8:30:00 AM,high,LSAND,1,,OUT OF MUD,MUD POT,,,FLEW OUT,BOTH,,
MED,1,8:31,high,GBBG,1,,,,,,,VIS ONLY,,
MED,1,8:31,high,LSAND,1,,,,,IN MUD POT,FLEW OUT,BOTH,,
MED,1,8:32,high,CROW,2,,OVER MARSH,,,,,BOTH,,
MED,1,8:34,high,TRSW,1,,,OVER MARSH EDGE,,,,BOTH,,
MED,1,8:35,high,SMSP,1,,OVER MARSH,,,,,BOTH,,
MED,1,8:35,high,HERG,1,,OVER HARBOR,,,,,VIS ONLY,,
MED,1,8:36,high,SMSP,1,,N TO S LOW,,,,,VIS ONLY,,
MED,1,8:38,high,COTE,1,,W TO E,,,,,VIS ONLY,,
MED,1,8:39,high,LSPIP,1,,MUD POT,MUD POT,,,FLEW OUT,VIS ONLY,,
MED,1,,high,HERRING GULL,1,,,,,,,,,
MED,1,,high,GREAT BB GULL,1,,,,,,,,,
MED,1,,high,LEAST SANDPIPER,1,,,,,,,,,
MED,1,,high,GOLD FINCH,1,,3,,,,,,,
MED,1,,high,SALTMARSH SPARROW,1,,,,,,,,,
MED,1,,high,TREE SWALLOW,1,,2,,,,,,,
MED,1,,high,COMMON TERN,1,,,,,,,,,
MED,1,,high,SANDERLING,1,,2 IN MARSH,,,,,,,
MED,1,(Z3)8:45:00 AM,high,HERG,1,,N TO S,,,,,VIS,,
MED,1,8:46,high,LEAST SANDPIPER,1,,,,MUD POT,,,VIS,,
MED,1,8:46,high,SPOTTED SANDPIPER,1,,,MUD POT,,,,VIS,,
MED,1,8:48,high,CROW,1,,,,PVC,,,VIS,,
MED,1,8:48,high,CORM,1,,E TO W,,,,,VIS,,
MED,1,8:49,high,CEWA,1,,OVER TREES,,,,,VIS,,
MED,1,8:50,high,CORM,1,,W TO E,,,,,VIS,,
MED,1,8:52,high,CORM,1,,,,,IN MARSH,,VIS,,
MED,1,8:55,high,CEWA,1,,SE OVER MARSH,,,,,BOTH,,
MED,1,,high,HERRING GULL,1,,,,,,,,,
MED,1,,high,CORM,1,,,,,,,,,
MED,1,,high,CEDAR W.,1,,,,,,,,,
MED,1,,high,CROW,1,,,,,,,,,
MED,1,,high,LEAST SANDPIPER,1,,,,,,,,,
MED,1,,high,SPOTTED SANDPIPER,1,,,,,,,,,
MED,2,(Z4) 9:07:00 AM,MID,GBBG,1,,E TO W,,,,,VIS,,
MED,2,9:07,MID,SNEG,1,,W TO E,,,,,VIS,,
MED,2,9:08,MID,CORM,2,,E TO W,,,,,VIS,,
MED,2,9:08,MID,SMSPAR,4,,CIRLING,,,,,VIS,,
MED,2,9:10,MID,MERL,1,,NW,FASY FLIGHT,,,,VIS,,
MED,2,9:10,MID,MOOO,1,,N TO S,,,,,VIS,,
MED,2,9:12,MID,TUVU,1,,CIRCLING,OVER MARSH,,,,VIS,,
MED,2,9:13,MID,CEWA,2,,CIRCLING,,,,,BOTH,,
MED,2,,MID,GBBG,1,,,,,,,,,
MED,2,,MID,EGR,1,,,,,,,,,
MED,2,,MID,CORM,1,,,,,,,,,
MED,2,,MID,SWALLOW SPP.,1,,,,,,,,,
MED,2,,MID,MERLIN,1,,,,,,,,,
MED,2,,MID,MOURNING DOVE,1,,,,,,,,,
MED,2,,MID,TURKEY vulture,1,,,,,,,,,
MED,2,,MID,CEWA,1,,,,,,,,,
MED,2,(Z5)9:20:00 AM,MID,CEWA,1,,,,,,,VIS,,
MED,2,9:20,MID,SNOWY,1,, W TO E,,,,,VIS,,
MED,2,9:20,MID,HERG,1,,W TO E,,,,,VIS,,
MED,2,9:20,MID,CEWA,1,,NW,,,,,VIS,,
MED,2,9:21,MID,SNOWY,1,,WEST,,,,,VIS,,
MED,2,9:21,MID,CATBIRD,1,,,,TREES,,,CALL,,
MED,2,9:21,MID,OSPREY,1,,,FLYING,,,,VIS,,
MED,2,9:22,MID,CEWA,1,,INTO TREES,,,,,VIS,,
MED,2,9:23,MID,CEWA,1,,,IN TREE ,,,,VIS,,
MED,2,9:24,MID,MERLIN,1,,,ALONG TREE LINE,,,,VIS,,
MED,2,9:25,MID,SNOWY,1,,N TO S,,,,,VIS,,
MED,2,9:26,MID,CEWA,1,,ALONG TREE,,,,,VIS,,
MED,2,9:27,MID,mourning dove,1,,ALONG TREE,,,,,VIS,,
MED,2,9:28,MID,CEWA,1,,WEST OVER MARSH,,,,,VIS,,
MED,2,,MID,CEWA,1,,,,,,,,,
MED,2,,MID,SNOWYEGRET,1,,,,,,,,,
MED,2,,MID,HERRING GULL,1,,,,,,,,,
MED,2,,MID,GREY CARBIRD,1,,,,,,,,,
